Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,48,GC02M177227,1.958513141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
NEK7,NIMA Related Kinase 7,Protein Coding,40,GC01P198156,1.958513141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK7
TXNIP,Thioredoxin Interacting Protein,Protein Coding,37,GC01M145992,1.801579356,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNIP
DDX3X,DEAD-Box Helicase 3 X-Linked,Protein Coding,46,GC0XP041333,1.708496928,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX3X
MIR22,MicroRNA 22,RNA Gene,21,GC17M001713,1.6992625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22
MIR125A,MicroRNA 125a,RNA Gene,22,GC19P053334,1.654573202,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A
GBP1,Guanylate Binding Protein 1,Protein Coding,41,GC01M089052,1.579061866,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBP1
MEG3,Maternally Expressed 3,RNA Gene,30,GC14P109055,1.520450234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3
MIR135B,MicroRNA 135b,RNA Gene,21,GC01M205448,1.520450234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR135B
MIR556,MicroRNA 556,RNA Gene,17,GC01P162342,1.520450234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR556
GJA1,Gap Junction Protein Alpha 1,Protein Coding,49,GC06P121436,1.495127439,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1
UBR2,Ubiquitin Protein Ligase E3 Component N-Recognin 2,Protein Coding,40,GC06P077059,1.489755273,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR2
CPTP,Ceramide-1-Phosphate Transfer Protein,Protein Coding,28,GC01P003366,1.489755273,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPTP
PRDM1,PR/SET Domain 1,Protein Coding,44,GC06P105993,1.450925946,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM1
MIR214,MicroRNA 214,RNA Gene,21,GC01M172234,1.450925946,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214
GAS5,Growth Arrest Specific 5,RNA Gene,25,GC01M173947,1.443489552,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5
TP53,Tumor Protein P53,Protein Coding,51,GC17M007661,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
VDR,Vitamin D Receptor,Protein Coding,50,GC12M047841,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDR
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,Protein Coding,49,GC01P055039,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9
BRD4,Bromodomain Containing 4,Protein Coding,46,GC19M015236,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD4
IKBKE,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon,Protein Coding,45,GC01P206470,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKE
AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,44,GC06M032180,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER
PKM,Pyruvate Kinase M1/2,Protein Coding,44,GC15M072199,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKM
CRTAC1,Cartilage Acidic Protein 1,Protein Coding,37,GC10M097865,1.415234447,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRTAC1
TET2,Tet Methylcytosine Dioxygenase 2,Protein Coding,45,GC04P105145,1.38487792,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET2
CTSV,Cathepsin V,Protein Coding,41,GC09M097029,1.38487792,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSV
UTS2,Urotensin 2,Protein Coding,40,GC01M007843,1.38487792,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UTS2
MIR155,MicroRNA 155,RNA Gene,20,GC21P025573,1.38487792,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155
MLKL,Mixed Lineage Kinase Domain Like Pseudokinase,Protein Coding,41,GC16M074672,1.36032021,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLKL
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,50,GC04P102501,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
APOE,Apolipoprotein E,Protein Coding,50,GC19P051999,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,47,GC01M017842,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB
P2RX7,Purinergic Receptor P2X 7,Protein Coding,46,GC12P125508,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX7
EEF2K,Eukaryotic Elongation Factor 2 Kinase,Protein Coding,45,GC16P022217,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF2K
CD274,CD274 Molecule,Protein Coding,43,GC09P005450,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274
FGF21,Fibroblast Growth Factor 21,Protein Coding,38,GC19P052252,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF21
DLX6-AS1,DLX6 Antisense RNA 1,RNA Gene,21,GC07M096966,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLX6-AS1
MIR23A,MicroRNA 23a,RNA Gene,21,GC19M014388,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A
KLF3-AS1,KLF3 Antisense RNA 1,RNA Gene,17,GC04M038594,1.351867199,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF3-AS1
CEBPB,CCAAT Enhancer Binding Protein Beta,Protein Coding,43,GC20P050190,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPB
BSG,Basigin (Ok Blood Group),Protein Coding,43,GC19P000571,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG
TFAM,"Transcription Factor A, Mitochondrial",Protein Coding,42,GC10P058385,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAM
PGF,Placental Growth Factor,Protein Coding,42,GC14M074941,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF
NLRX1,NLR Family Member X1,Protein Coding,40,GC11P119166,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRX1
SLC16A4,Solute Carrier Family 16 Member 4,Protein Coding,39,GC01M110362,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A4
IL32,Interleukin 32,Protein Coding,38,GC16P009928,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL32
CHRFAM7A,CHRNA7 (Exons 5-10) And FAM7A (Exons A-E) Fusion,Protein Coding,33,GC15M030360,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRFAM7A
MIR21,MicroRNA 21,RNA Gene,25,GC17P059841,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
MIR124-1,MicroRNA 124-1,RNA Gene,22,GC08M009903,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-1
MIR195,MicroRNA 195,RNA Gene,20,GC17M007018,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR195
MIR485,MicroRNA 485,RNA Gene,19,GC14P109086,1.315353632,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR485
MALT1,MALT1 Paracaspase,Protein Coding,46,GC18P058671,1.296252251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALT1
TLR2,Toll Like Receptor 2,Protein Coding,50,GC04P153684,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,48,GC03M119821,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
STK4,Serine/Threonine Kinase 4,Protein Coding,48,GC20P044966,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK4
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,48,GC01M186640,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
MST1,Macrophage Stimulating 1,Protein Coding,46,GC03M049683,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1
PRF1,Perforin 1,Protein Coding,45,GC10M070597,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1
TRIM24,Tripartite Motif Containing 24,Protein Coding,42,GC07P138460,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM24
ELAVL1,ELAV Like RNA Binding Protein 1,Protein Coding,41,GC19M007958,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1
MPEG1,Macrophage Expressed 1,Protein Coding,36,GC11M059208,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPEG1
MIR204,MicroRNA 204,RNA Gene,24,GC09M070809,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR204
HOTTIP,HOXA Distal Transcript Antisense RNA,RNA Gene,23,GC07P027198,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTTIP
CDKN2B-AS1,CDKN2B Antisense RNA 1,RNA Gene,22,GC09P021994,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1
MIR9-1,MicroRNA 9-1,RNA Gene,21,GC01M156420,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-1
MIR9-2,MicroRNA 9-2,RNA Gene,20,GC05M088666,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-2
MIR9-3,MicroRNA 9-3,RNA Gene,20,GC15P089368,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-3
MIR497,MicroRNA 497,RNA Gene,19,GC17M007022,1.273908973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR497
EPHA2,EPH Receptor A2,Protein Coding,51,GC01M016124,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA2
ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,51,GC09P130713,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABL1
HDAC6,Histone Deacetylase 6,Protein Coding,51,GC0XP048801,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC6
SQSTM1,Sequestosome 1,Protein Coding,47,GC05P179806,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1
IRF3,Interferon Regulatory Factor 3,Protein Coding,45,GC19M049659,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3
CDK9,Cyclin Dependent Kinase 9,Protein Coding,45,GC09P127966,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK9
TREM1,Triggering Receptor Expressed On Myeloid Cells 1,Protein Coding,40,GC06M041267,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM1
TSLP,Thymic Stromal Lymphopoietin,Protein Coding,38,GC05P111070,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSLP
ZDHHC1,Zinc Finger DHHC-Type Containing 1,Protein Coding,36,GC16M067394,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC1
STING1,Stimulator Of Interferon Response CGAMP Interactor 1,Protein Coding,33,GC05M139476,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1
HNP1,Hypertensive Nephropathy,Genetic Locus,2,GC09U900671,1.224747896,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNP1
PTEN,Phosphatase And Tensin Homolog,Protein Coding,50,GC10P090708,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
DRD2,Dopamine Receptor D2,Protein Coding,49,GC11M113409,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2
ADORA1,Adenosine A1 Receptor,Protein Coding,46,GC01P203090,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA1
ADORA2B,Adenosine A2b Receptor,Protein Coding,46,GC17P015927,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA2B
ADORA2A,Adenosine A2a Receptor,Protein Coding,45,GC22P024417,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA2A
ADORA3,Adenosine A3 Receptor,Protein Coding,45,GC01M111499,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA3
METTL3,"Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit",Protein Coding,40,GC14M021498,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3
PECAM1,Platelet And Endothelial Cell Adhesion Molecule 1,Protein Coding,40,GC17M064319,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1
TRIM31,Tripartite Motif Containing 31,Protein Coding,38,GC06M061208,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM31
METTL14,"Methyltransferase 14, N6-Adenosine-Methyltransferase Subunit",Protein Coding,37,GC04P118685,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL14
MIR25,MicroRNA 25,RNA Gene,21,GC07M100093,1.160680056,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR25
IFI16,Interferon Gamma Inducible Protein 16,Protein Coding,41,GC01P158969,1.057577491,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI16
CAMP,Cathelicidin Antimicrobial Peptide,Protein Coding,40,GC03P048674,1.02456677,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP
MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",Protein Coding,40,GC11M095776,1.00600636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRE11
FNDC4,Fibronectin Type III Domain Containing 4,Protein Coding,36,GC02M027491,1.00600636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC4
FNDC5,Fibronectin Type III Domain Containing 5,Protein Coding,34,GC01M033105,1.00600636,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FNDC5
ELANE,"Elastase, Neutrophil Expressed",Protein Coding,48,GC19P002165,1.00358367,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,48,GC01M226360,0.988053203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
TRIM21,Tripartite Motif Containing 21,Protein Coding,41,GC11M004384,0.988053203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM21
PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,38,GC06M161348,0.988053203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN
GBP5,Guanylate Binding Protein 5,Protein Coding,37,GC01M089259,0.988053203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBP5
NR1H2,Nuclear Receptor Subfamily 1 Group H Member 2,Protein Coding,46,GC19P050329,0.946608543,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2
CTSG,Cathepsin G,Protein Coding,45,GC14M024573,0.897447467,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG
MKI67,Marker Of Proliferation Ki-67,Protein Coding,44,GC10M128096,0.897447467,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKI67
IL36G,Interleukin 36 Gamma,Protein Coding,37,GC02P112973,0.833379567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36G
IL36B,Interleukin 36 Beta,Protein Coding,33,GC02M113022,0.833379567,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36B
NLRP6,NLR Family Pyrin Domain Containing 6,Protein Coding,38,GC11P000269,0.784842074,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP6
PRTN3,Proteinase 3,Protein Coding,45,GC19P000840,0.772220135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3
SERPINB1,Serpin Family B Member 1,Protein Coding,40,GC06M002833,0.772220135,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB1
DUOX1,Dual Oxidase 1,Protein Coding,41,GC15P045129,0.736528516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUOX1
APOL1,Apolipoprotein L1,Protein Coding,44,GC22P036253,0.730775416,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1
MEFV,"MEFV Innate Immuity Regulator, Pyrin",Protein Coding,43,GC16M006424,0.681614339,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV
FOXP3,Forkhead Box P3,Protein Coding,46,GC0XM049250,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3
NLRP7,NLR Family Pyrin Domain Containing 7,Protein Coding,43,GC19M054923,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP7
ANO6,Anoctamin 6,Protein Coding,41,GC12P045215,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO6
BNIP3,BCL2 Interacting Protein 3,Protein Coding,41,GC10M131966,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3
XIST,X Inactive Specific Transcript,RNA Gene,25,GC0XM073820,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIST
MIR107,MicroRNA 107,RNA Gene,20,GC10M089600,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR107
MIR103A2,MicroRNA 103a-2,RNA Gene,19,GC20P003917,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR103A2
MIR103A1,MicroRNA 103a-1,RNA Gene,18,GC05M168560,0.673161328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR103A1
FADD,Fas Associated Via Death Domain,Protein Coding,45,GC11P070203,0.63664782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,45,GC01P100719,0.63664782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1
SESN2,Sestrin 2,Protein Coding,37,GC01P028270,0.63664782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SESN2
TNF,Tumor Necrosis Factor,Protein Coding,50,GC06P076864,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
VIM,Vimentin,Protein Coding,49,GC10P017227,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM
CAPN1,Calpain 1,Protein Coding,48,GC11P068856,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN1
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,47,GC01M058780,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN
RIPK3,Receptor Interacting Serine/Threonine Kinase 3,Protein Coding,42,GC14M024336,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK3
MIR139,MicroRNA 139,RNA Gene,21,GC11M072615,0.595203161,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR139
BHLHE40,Basic Helix-Loop-Helix Family Member E40,Protein Coding,40,GC03P004980,0.546042085,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE40
BHLHE41,Basic Helix-Loop-Helix Family Member E41,Protein Coding,40,GC12M026120,0.546042085,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHLHE41
ALK,ALK Receptor Tyrosine Kinase,Protein Coding,50,GC02M029190,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALK
TFAP2A,Transcription Factor AP-2 Alpha,Protein Coding,47,GC06M010393,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A
BIRC3,Baculoviral IAP Repeat Containing 3,Protein Coding,45,GC11P102317,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC3
E2F4,E2F Transcription Factor 4,Protein Coding,44,GC16P067192,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F4
BIRC2,Baculoviral IAP Repeat Containing 2,Protein Coding,44,GC11P102347,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC2
UBE2D2,Ubiquitin Conjugating Enzyme E2 D2,Protein Coding,43,GC05P139526,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D2
LY96,Lymphocyte Antigen 96,Protein Coding,42,GC08P073991,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY96
GLMN,"Glomulin, FKBP Associated Protein",Protein Coding,40,GC01M092246,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLMN
IRGM,Immunity Related GTPase M,Protein Coding,36,GC05P150846,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRGM
SCAF11,SR-Related CTD Associated Factor 11,Protein Coding,36,GC12M045919,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAF11
NLRP13,NLR Family Pyrin Domain Containing 13,Protein Coding,35,GC19M062541,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP13
ADAMTS9-AS2,ADAMTS9 Antisense RNA 2,RNA Gene,18,GC03P064671,0.481974125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS9-AS2
NINJ1,Ninjurin 1,Protein Coding,40,GC09M093121,0.462872744,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NINJ1
TUBB6,Tubulin Beta 6 Class V,Protein Coding,41,GC18P012307,0.437483221,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB6
MYD88,MYD88 Innate Immune Signal Transduction Adaptor,Protein Coding,49,GC03P038139,0.37887159,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88
