Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
CCNB1,Cyclin B1,Protein Coding,P14635,53,GC05P069167,5.880753517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB1
POLK,DNA Polymerase Kappa,Protein Coding,Q9UBT6,50,GC05P075511,5.857287407,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLK
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene,,14,GC06M159772,5.832888603,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,P19320,53,GC01P100719,5.811963081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1
IL10,Interleukin 10,Protein Coding,P22301,54,GC01M206767,5.782282352,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,59,GC03P179148,5.777047634,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA
ESR1,Estrogen Receptor 1,Protein Coding,P03372,61,GC06P151656,5.758577824,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1
ALB,Albumin,Protein Coding,P02768,56,GC04P073397,5.758416176,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
EHMT2,Euchromatic Histone Lysine Methyltransferase 2,Protein Coding,Q96KQ7,53,GC06M031879,5.740602016,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT2
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,P09211,57,GC11P067583,5.672065258,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1
CYP2D6,Cytochrome P450 Family 2 Subfamily D Member 6,Protein Coding,P10635,52,GC22M042126,5.659095764,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6
ESR2,Estrogen Receptor 2,Protein Coding,Q92731,56,GC14M064084,5.650612831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2
MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,56,GC16M040839,5.634976387,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3
TNF,Tumor Necrosis Factor,Protein Coding,P01375,58,GC06P104098,5.627060413,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
ERBB3,Erb-B2 Receptor Tyrosine Kinase 3,Protein Coding,P21860,61,GC12P058086,5.549955368,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3
CASP8,Caspase 8,Protein Coding,Q14790,59,GC02P201233,5.522478104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
SULT1A3,Sulfotransferase Family 1A Member 3,Protein Coding,P0DMM9,42,GC16P030199,5.480712891,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A3
UGT1A9,UDP Glucuronosyltransferase Family 1 Member A9,Protein Coding,O60656,51,GC02P233671,5.466575146,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A9
COMT,Catechol-O-Methyltransferase,Protein Coding,P21964,58,GC22P019941,5.308834076,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT
HDC,Histidine Decarboxylase,Protein Coding,P19113,50,GC15M050241,5.298550129,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDC
HSPB2,Heat Shock Protein Family B (Small) Member 2,Protein Coding,Q16082,46,GC11P112151,5.280397892,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB2
GAA,Alpha Glucosidase,Protein Coding,P10253,56,GC17P080101,5.250164509,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA
NFKB2,Nuclear Factor Kappa B Subunit 2,Protein Coding,Q00653,59,GC10P102394,5.228924274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB2
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,Q04206,58,GC11M065653,5.228924274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
GP6,Glycoprotein VI Platelet,Protein Coding,Q9HCN6,52,GC19M055013,5.226173401,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP6
PTK2B,Protein Tyrosine Kinase 2 Beta,Protein Coding,Q14289,56,GC08P027311,5.211873531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2B
CSN1S1,Casein Alpha S1,Protein Coding,P47710,43,GC04P069950,5.211873531,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN1S1
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,61,GC17M042313,5.211170197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
AHR,Aryl Hydrocarbon Receptor,Protein Coding,P35869,53,GC07P016916,5.197767735,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR
SLC5A1,Solute Carrier Family 5 Member 1,Protein Coding,P13866,54,GC22P032043,5.172523499,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A1
BDNF-AS,BDNF Antisense RNA,RNA Gene,,24,GC11P027619,5.120709419,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
BAD,BCL2 Associated Agonist Of Cell Death,Protein Coding,Q92934,50,GC11M109178,5.111624241,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD
CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,Q16678,55,GC02M038066,5.095635414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1
UGT1A,UDP Glucuronosyltransferase Family 1 Member A Complex Locus,Uncategorized,,13,GC02P233592,5.088009834,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A
TGFA,Transforming Growth Factor Alpha,Protein Coding,P01135,53,GC02M070447,5.079168797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA
RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P04049,61,GC03M012583,5.062179089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1
CDK4,Cyclin Dependent Kinase 4,Protein Coding,P11802,61,GC12M058711,5.044612885,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
PIKFYVE,"Phosphoinositide Kinase, FYVE-Type Zinc Finger Containing",Protein Coding,Q9Y2I7,56,GC02P208266,5.007487297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIKFYVE
LYN,"LYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,P07948,55,GC08P055879,5.007487297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYN
ALDH1A1,Aldehyde Dehydrogenase 1 Family Member A1,Protein Coding,P00352,54,GC09M072900,5.007487297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH1A1
GSTA1,Glutathione S-Transferase Alpha 1,Protein Coding,P08263,49,GC06M052791,5.007487297,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA1
PON1,Paraoxonase 1,Protein Coding,P27169,54,GC07M095297,5.006016254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1
NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,Protein Coding,P04150,56,GC05M143277,4.997385979,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
ABCG2,ATP Binding Cassette Subfamily G Member 2 (Junior Blood Group),Protein Coding,Q9UNQ0,56,GC04M088090,4.97986269,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2
GGT1,Gamma-Glutamyltransferase 1,Protein Coding,P19440,56,GC22P024583,4.945409298,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1
LPO,Lactoperoxidase,Protein Coding,P22079,47,GC17P058218,4.922459602,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPO
SULT1E1,Sulfotransferase Family 1E Member 1,Protein Coding,P49888,50,GC04M069823,4.917868137,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1E1
IL2,Interleukin 2,Protein Coding,P60568,52,GC04M122451,4.898025036,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
CDK1,Cyclin Dependent Kinase 1,Protein Coding,P06493,55,GC10P060772,4.867939949,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1
HSPG2,Heparan Sulfate Proteoglycan 2,Protein Coding,P98160,54,GC01M021822,4.852274895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2
F3,"Coagulation Factor III, Tissue Factor",Protein Coding,P13726,52,GC01M094703,4.813628197,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3
FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,58,GC14P075278,4.808317184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS
ALOX5,Arachidonate 5-Lipoxygenase,Protein Coding,P09917,54,GC10P045374,4.787797451,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5
BAK1,BCL2 Antagonist/Killer 1,Protein Coding,Q16611,52,GC06M033572,4.787797451,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAK1
TFF1,Trefoil Factor 1,Protein Coding,P04155,49,GC21M042362,4.752025604,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF1
FASN,Fatty Acid Synthase,Protein Coding,P49327,56,GC17M082078,4.733105659,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN
PLA2G2A,Phospholipase A2 Group IIA,Protein Coding,P14555,53,GC01M019975,4.724803448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G2A
PTPN3,Protein Tyrosine Phosphatase Non-Receptor Type 3,Protein Coding,P26045,50,GC09M109375,4.713378906,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN3
AGK,Acylglycerol Kinase,Protein Coding,Q53H12,47,GC07P141551,4.697639942,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGK
TYMS,Thymidylate Synthetase,Protein Coding,P04818,57,GC18P000657,4.692733765,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMS
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,56,GC06P043770,4.676606178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
GFAP,Glial Fibrillary Acidic Protein,Protein Coding,P14136,55,GC17M061018,4.671027184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP
AKR1B1,Aldo-Keto Reductase Family 1 Member B,Protein Coding,P15121,53,GC07M134442,4.651580334,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B1
LOX,Lysyl Oxidase,Protein Coding,P28300,54,GC05M122063,4.623642921,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX
TMX2-CTNND1,TMX2-CTNND1 Readthrough (NMD Candidate),RNA Gene,,18,GC11P057712,4.602370262,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1
APEX1,Apurinic/Apyrimidinic Endodeoxyribonuclease 1,Protein Coding,P27695,52,GC14P020455,4.580268383,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APEX1
NR1H2,Nuclear Receptor Subfamily 1 Group H Member 2,Protein Coding,P55055,53,GC19P050329,4.568843842,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2
LCT,Lactase,Protein Coding,P09848,49,GC02M135787,4.566725254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT
CCNA2,Cyclin A2,Protein Coding,P20248,52,GC04M121816,4.562086582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2
IFI27,Interferon Alpha Inducible Protein 27,Protein Coding,P40305,45,GC14P094104,4.562086582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI27
E2F1,E2F Transcription Factor 1,Protein Coding,Q01094,50,GC20M033675,4.540380478,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1
GADD45A,Growth Arrest And DNA Damage Inducible Alpha,Protein Coding,P24522,50,GC01P067685,4.540380478,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45A
CDK2,Cyclin Dependent Kinase 2,Protein Coding,P24941,58,GC12P055966,4.517430782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2
POR,Cytochrome P450 Oxidoreductase,Protein Coding,P16435,56,GC07P075899,4.492996216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR
CYP2E1,Cytochrome P450 Family 2 Subfamily E Member 1,Protein Coding,P05181,53,GC10P133520,4.492996216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1
SELE,Selectin E,Protein Coding,P16581,50,GC01M169722,4.492996216,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE
CHUK,Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex,Protein Coding,O15111,57,GC10M100296,4.466744423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK
DNTT,DNA Nucleotidylexotransferase,Protein Coding,P04053,48,GC10P096304,4.466744423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNTT
MME,Membrane Metalloendopeptidase,Protein Coding,P08473,57,GC03P155024,4.438197136,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,58,GC05P068215,4.406620502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
PRKCA,Protein Kinase C Alpha,Protein Coding,P17252,57,GC17P066302,4.406620502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA
GABPA,GA Binding Protein Transcription Factor Subunit Alpha,Protein Coding,Q06546,46,GC21P025734,4.406620502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABPA
CASP1,Caspase 1,Protein Coding,P29466,56,GC11M105025,4.370779991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1
CDC25C,Cell Division Cycle 25C,Protein Coding,P30307,54,GC05M138285,4.370779991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C
ALOX15,Arachidonate 15-Lipoxygenase,Protein Coding,P16050,52,GC17M004630,4.370779991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX15
UGT1A3,UDP Glucuronosyltransferase Family 1 Member A3,Protein Coding,P35503,44,GC02P233729,4.343600273,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A3
MAPT,Microtubule Associated Protein Tau,Protein Coding,P10636,57,GC17P045894,4.336006165,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPT
POLI,DNA Polymerase Iota,Protein Coding,Q9UNA4,49,GC18P054274,4.335801125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLI
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,58,GC10P098516,4.328266144,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
ALPP,"Alkaline Phosphatase, Placental",Protein Coding,P05187,50,GC02P232378,4.328266144,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPP
OLR1,Oxidized Low Density Lipoprotein Receptor 1,Protein Coding,P78380,49,GC12M024903,4.301590443,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OLR1
KEAP1,Kelch Like ECH Associated Protein 1,Protein Coding,Q14145,56,GC19M010486,4.279593468,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,O75469,50,GC03P119780,4.242619991,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2
GBA3,Glucosylceramidase Beta 3 (Gene/Pseudogene),Protein Coding,Q9H227,41,GC04P022694,4.179517746,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA3
AKR1C1,Aldo-Keto Reductase Family 1 Member C1,Protein Coding,Q04828,50,GC10P004963,4.169193268,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1C1
NQO2,N-Ribosyldihydronicotinamide:Quinone Reductase 2,Protein Coding,P16083,52,GC06P003506,4.107815266,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO2
CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,P68400,57,GC20M000472,4.089609623,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,P11511,56,GC15M051208,4.070689201,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1
IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,O14920,61,GC08P042271,4.024710178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB
SLC16A1,Solute Carrier Family 16 Member 1,Protein Coding,P53985,54,GC01M113047,3.934975147,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1
CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,58,GC07P117287,3.874851465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR
TMPO,Thymopoietin,Protein Coding,P42166,53,GC12P098515,3.874851465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPO
PLAU,"Plasminogen Activator, Urokinase",Protein Coding,P00749,58,GC10P073909,3.839010715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU
PTK2,Protein Tyrosine Kinase 2,Protein Coding,Q05397,54,GC08M140657,3.839010715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2
CYP2B6,Cytochrome P450 Family 2 Subfamily B Member 6,Protein Coding,P20813,52,GC19P040991,3.830580235,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6
TP53,Tumor Protein P53,Protein Coding,P04637,60,GC17M007661,3.811686516,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
CSNK2B,Casein Kinase 2 Beta,Protein Coding,P67870,55,GC06P104101,3.775780916,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2B
